timestamp,variant,equity,spread_side,gross_exposure,pair
2022-01-08 00:00:00,eth_btc_mr_42_e15_x03_s30,1000.0,0,0.0,ETHUSDT/BTCUSDT
2022-01-08 04:00:00,eth_btc_mr_42_e15_x03_s30,999.6,1,1.0,ETHUSDT/BTCUSDT
2022-01-08 08:00:00,eth_btc_mr_42_e15_x03_s30,999.8808621990877,1,1.0,ETHUSDT/BTCUSDT
2022-01-08 12:00:00,eth_btc_mr_42_e15_x03_s30,994.5528433245508,1,1.0,ETHUSDT/BTCUSDT
2022-01-08 16:00:00,eth_btc_mr_42_e15_x03_s30,982.975408715109,1,1.0,ETHUSDT/BTCUSDT
2022-01-08 20:00:00,eth_btc_mr_42_e15_x03_s30,981.1610872388135,1,1.0,ETHUSDT/BTCUSDT
2022-01-09 00:00:00,eth_btc_mr_42_e15_x03_s30,985.6381632814116,1,1.0,ETHUSDT/BTCUSDT
2022-01-09 04:00:00,eth_btc_mr_42_e15_x03_s30,987.2355864305945,1,1.0,ETHUSDT/BTCUSDT
2022-01-09 08:00:00,eth_btc_mr_42_e15_x03_s30,986.6453105869449,1,1.0,ETHUSDT/BTCUSDT
2022-01-09 12:00:00,eth_btc_mr_42_e15_x03_s30,984.7766410952347,1,1.0,ETHUSDT/BTCUSDT
2022-01-09 16:00:00,eth_btc_mr_42_e15_x03_s30,988.7193230683231,1,1.0,ETHUSDT/BTCUSDT
2022-01-09 20:00:00,eth_btc_mr_42_e15_x03_s30,990.4185479383076,1,1.0,ETHUSDT/BTCUSDT
2022-01-10 00:00:00,eth_btc_mr_42_e15_x03_s30,989.7838100927771,1,1.0,ETHUSDT/BTCUSDT
2022-01-10 04:00:00,eth_btc_mr_42_e15_x03_s30,990.0936919855369,1,1.0,ETHUSDT/BTCUSDT
2022-01-10 08:00:00,eth_btc_mr_42_e15_x03_s30,986.6251350467979,1,1.0,ETHUSDT/BTCUSDT
2022-01-10 12:00:00,eth_btc_mr_42_e15_x03_s30,977.7425925663687,1,1.0,ETHUSDT/BTCUSDT
2022-01-10 16:00:00,eth_btc_mr_42_e15_x03_s30,978.0938873427716,1,1.0,ETHUSDT/BTCUSDT
2022-01-10 20:00:00,eth_btc_mr_42_e15_x03_s30,980.3907922102304,1,1.0,ETHUSDT/BTCUSDT
2022-01-11 00:00:00,eth_btc_mr_42_e15_x03_s30,980.9565496293626,1,1.0,ETHUSDT/BTCUSDT
2022-01-11 04:00:00,eth_btc_mr_42_e15_x03_s30,983.1466941867061,1,1.0,ETHUSDT/BTCUSDT
2022-01-11 08:00:00,eth_btc_mr_42_e15_x03_s30,984.7705953725043,1,1.0,ETHUSDT/BTCUSDT
2022-01-11 12:00:00,eth_btc_mr_42_e15_x03_s30,989.4311827313132,1,1.0,ETHUSDT/BTCUSDT
2022-01-11 16:00:00,eth_btc_mr_42_e15_x03_s30,991.1675610510127,1,1.0,ETHUSDT/BTCUSDT
2022-01-11 20:00:00,eth_btc_mr_42_e15_x03_s30,994.2285846853938,1,1.0,ETHUSDT/BTCUSDT
2022-01-12 00:00:00,eth_btc_mr_42_e15_x03_s30,994.8872216752487,1,1.0,ETHUSDT/BTCUSDT
2022-01-12 04:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-12 08:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-12 12:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-12 16:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-12 20:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-13 00:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-13 04:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-13 08:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-13 12:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-13 16:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-13 20:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-14 00:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-14 04:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-14 08:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-14 12:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-14 16:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-14 20:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-15 00:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-15 04:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-15 08:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-15 12:00:00,eth_btc_mr_42_e15_x03_s30,992.3992230573738,0,0.0,ETHUSDT/BTCUSDT
2022-01-15 16:00:00,eth_btc_mr_42_e15_x03_s30,992.0022633681508,-1,1.0,ETHUSDT/BTCUSDT
2022-01-15 20:00:00,eth_btc_mr_42_e15_x03_s30,990.7343936561673,-1,1.0,ETHUSDT/BTCUSDT
