timestamp,variant,equity,gross_exposure,long_asset,short_asset,side_change
2022-01-08 04:00:00,relmom_1d_7d_4h,1000.0,0.0,,,False
2022-01-08 08:00:00,relmom_1d_7d_4h,999.6,1.0,ETHUSDT,XRPUSDT,True
2022-01-08 12:00:00,relmom_1d_7d_4h,994.7998363317813,1.0,ETHUSDT,BTCUSDT,True
2022-01-08 16:00:00,relmom_1d_7d_4h,982.8262387046396,1.0,ETHUSDT,XRPUSDT,True
2022-01-08 20:00:00,relmom_1d_7d_4h,981.0808209680639,1.0,ETHUSDT,XRPUSDT,False
2022-01-09 00:00:00,relmom_1d_7d_4h,983.6064578084154,1.0,ETHUSDT,XRPUSDT,False
2022-01-09 04:00:00,relmom_1d_7d_4h,985.780788692431,1.0,ETHUSDT,XRPUSDT,False
2022-01-09 08:00:00,relmom_1d_7d_4h,984.9594337657038,1.0,ETHUSDT,XRPUSDT,False
2022-01-09 12:00:00,relmom_1d_7d_4h,985.2206063074932,1.0,ETHUSDT,XRPUSDT,False
2022-01-09 16:00:00,relmom_1d_7d_4h,987.6148022663866,1.0,ETHUSDT,XRPUSDT,False
2022-01-09 20:00:00,relmom_1d_7d_4h,986.6420306928641,1.0,ETHUSDT,BTCUSDT,True
2022-01-10 00:00:00,relmom_1d_7d_4h,986.0097131356299,1.0,ETHUSDT,BTCUSDT,False
2022-01-10 04:00:00,relmom_1d_7d_4h,986.3184134326749,1.0,ETHUSDT,BTCUSDT,False
2022-01-10 08:00:00,relmom_1d_7d_4h,982.4699370483668,1.0,ETHUSDT,XRPUSDT,True
2022-01-10 12:00:00,relmom_1d_7d_4h,978.3711273637871,1.0,ETHUSDT,XRPUSDT,False
2022-01-10 16:00:00,relmom_1d_7d_4h,982.9396222656584,1.0,ETHUSDT,BTCUSDT,True
2022-01-10 20:00:00,relmom_1d_7d_4h,985.2479066052464,1.0,ETHUSDT,BTCUSDT,False
2022-01-11 00:00:00,relmom_1d_7d_4h,985.4221403489803,1.0,ETHUSDT,XRPUSDT,True
2022-01-11 04:00:00,relmom_1d_7d_4h,987.1229937108968,1.0,ETHUSDT,XRPUSDT,False
2022-01-11 08:00:00,relmom_1d_7d_4h,988.5486137187368,1.0,ETHUSDT,XRPUSDT,False
2022-01-11 12:00:00,relmom_1d_7d_4h,990.895042674145,1.0,ETHUSDT,BTCUSDT,True
2022-01-11 16:00:00,relmom_1d_7d_4h,992.6339899594402,1.0,ETHUSDT,BTCUSDT,False
2022-01-11 20:00:00,relmom_1d_7d_4h,995.6995423674849,1.0,ETHUSDT,BTCUSDT,False
2022-01-12 00:00:00,relmom_1d_7d_4h,996.3591538084419,1.0,ETHUSDT,BTCUSDT,False
2022-01-12 04:00:00,relmom_1d_7d_4h,994.2651802775038,1.0,ETHUSDT,BTCUSDT,False
2022-01-12 08:00:00,relmom_1d_7d_4h,998.4177479184527,1.0,ETHUSDT,BTCUSDT,False
2022-01-12 12:00:00,relmom_1d_7d_4h,1004.7205843831953,1.0,ETHUSDT,BTCUSDT,False
2022-01-12 16:00:00,relmom_1d_7d_4h,1005.8223763333551,1.0,ETHUSDT,BTCUSDT,False
2022-01-12 20:00:00,relmom_1d_7d_4h,1002.3615950055053,1.0,ETHUSDT,BTCUSDT,False
