timestamp,equity_case1,equity_case2,equity_case3
2022-01-01 08:00:00,1000.0,1002.3914872913256,1000.0
2022-01-01 08:15:00,1000.0,1001.5813042767696,1000.0
2022-01-01 08:30:00,1000.0,1001.4880689298565,1000.0
2022-01-01 08:45:00,1000.0,1001.6102393844324,1000.0
2022-01-01 09:00:00,1000.0,1000.3644222489544,1000.0
2022-01-01 09:15:00,1000.0,1001.4494887863061,1000.0
2022-01-01 09:30:00,1000.0,1002.8657015557978,1000.0
2022-01-01 09:45:00,1000.0,1002.1744739838553,1000.0
2022-01-01 10:00:00,1000.0,1001.9172730268533,1000.0
2022-01-01 10:15:00,1000.0,1006.5099176153184,1000.0
2022-01-01 10:30:00,1000.0,1007.0654350313062,1000.0
2022-01-01 10:45:00,1000.0,1007.0654350313062,1000.0
2022-01-01 11:00:00,1000.0,1007.0654350313062,1000.0
2022-01-01 11:15:00,1000.0,1007.0654350313062,1000.0
2022-01-01 11:30:00,1000.0,1007.0654350313062,1000.0
2022-01-01 11:45:00,1000.0,1007.0654350313062,1000.0
2022-01-01 12:00:00,1000.0,1007.0654350313062,1000.0
2022-01-01 12:15:00,1000.0,1007.0654350313062,1000.0
2022-01-01 12:30:00,1000.0,1007.0654350313062,1000.0
2022-01-01 12:45:00,1000.0,1007.0654350313062,1000.0
2022-01-01 13:00:00,1000.0,1007.0654350313062,1000.0
2022-01-01 13:15:00,1000.0,1007.0654350313062,1000.0
2022-01-01 13:30:00,1000.0,1007.0654350313062,1000.0
2022-01-01 13:45:00,1000.0,1007.0654350313062,1000.0
2022-01-01 14:00:00,1000.0,1007.0654350313062,1000.0
2022-01-01 14:15:00,1000.0,1007.0654350313062,1000.0
2022-01-01 14:30:00,1000.0,1007.0654350313062,1000.0
2022-01-01 14:45:00,1000.0,1007.0654350313062,1000.0
2022-01-01 15:00:00,1000.0,1007.0654350313062,1000.0
2022-01-01 15:15:00,1000.0,1007.0654350313062,1000.0
2022-01-01 15:30:00,1000.0,1004.8197151911994,1000.0
2022-01-01 15:45:00,1000.0,1006.2861931446324,1000.0
2022-01-01 16:00:00,1000.0,1004.4299536088917,1000.0
2022-01-01 16:15:00,1000.0,1003.1940845916574,1000.0
2022-01-01 16:30:00,1000.0,1003.9784797760518,1000.0
2022-01-01 16:45:00,1000.0,1005.8834395095811,1000.0
2022-01-01 17:00:00,1000.0,1005.7015507711708,1000.0
