policy_name,family,segment,tc_bps,turnover_mean,turnover_total,q1_p,q5_p,p_tail_1pct,p_tail_5pct,cvar_1pct,cvar_5pct,final_equity,total_return_pct,cagr_pct,mdd_pct,calmar,event_count,event_mean_return,event_worst_return,event_loss_pct,event_bar_neg_pct,event_mean_worst_dd,event_worst_dd_min,cvar1_loss,cvar5_loss,event_worst_loss
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.35_ac0.20_rc0.30_vr1.20_hl30,C_dynamic,train,1.0,0.00025478249839460266,385.6499999999999,-0.003393997010956684,-0.001564304527675705,0.010000369968103464,0.05000052852586209,-0.005370144074724488,-0.0028258499213849424,8.929158429970435,792.9158429970436,113.95509143352665,58.185073776394745,1.9584935454659058,459.0,-0.014943298323721424,-0.09653083682073804,0.8997821350762527,0.4785947712418301,-0.02660999943181008,-0.19038479896251437,0.005370144074724488,0.0028258499213849424,0.09653083682073804
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.35_ac0.30_rc0.30_vr1.20_hl30,C_dynamic,train,1.0,0.00025478249839460266,385.6499999999999,-0.003393997010956684,-0.001564304527675705,0.010000369968103464,0.05000052852586209,-0.005370144074724488,-0.0028258499213849424,8.929158429970435,792.9158429970436,113.95509143352665,58.185073776394745,1.9584935454659058,459.0,-0.014943298323721424,-0.09653083682073804,0.8997821350762527,0.4785947712418301,-0.02660999943181008,-0.19038479896251437,0.005370144074724488,0.0028258499213849424,0.09653083682073804
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.45_ac0.20_rc0.30_vr1.20_hl30,C_dynamic,train,1.0,0.00025478249839460266,385.6499999999999,-0.003393997010956684,-0.001564304527675705,0.010000369968103464,0.05000052852586209,-0.005370144074724488,-0.0028258499213849424,8.929158429970435,792.9158429970436,113.95509143352665,58.185073776394745,1.9584935454659058,459.0,-0.014943298323721424,-0.09653083682073804,0.8997821350762527,0.4785947712418301,-0.02660999943181008,-0.19038479896251437,0.005370144074724488,0.0028258499213849424,0.09653083682073804
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.45_ac0.30_rc0.30_vr1.20_hl30,C_dynamic,train,1.0,0.00025478249839460266,385.6499999999999,-0.003393997010956684,-0.001564304527675705,0.010000369968103464,0.05000052852586209,-0.005370144074724488,-0.0028258499213849424,8.929158429970435,792.9158429970436,113.95509143352665,58.185073776394745,1.9584935454659058,459.0,-0.014943298323721424,-0.09653083682073804,0.8997821350762527,0.4785947712418301,-0.02660999943181008,-0.19038479896251437,0.005370144074724488,0.0028258499213849424,0.09653083682073804
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.35_ac0.20_rc0.20_vr1.20_hl30,C_dynamic,train,1.0,0.0002628425177915018,397.8499999999999,-0.00339373010730366,-0.0015644033495507941,0.010000369968103464,0.05000052852586209,-0.005371040593003356,-0.0028260984468303544,8.932292886602875,793.2292886602875,113.98118112627546,58.18483516579425,1.958949970408833,459.0,-0.014940154341087131,-0.09653083682073804,0.8997821350762527,0.47856753812636166,-0.026606650186752963,-0.19038479896251437,0.005371040593003356,0.0028260984468303544,0.09653083682073804
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.35_ac0.30_rc0.20_vr1.20_hl30,C_dynamic,train,1.0,0.0002628425177915018,397.8499999999999,-0.00339373010730366,-0.0015644033495507941,0.010000369968103464,0.05000052852586209,-0.005371040593003356,-0.0028260984468303544,8.932292886602875,793.2292886602875,113.98118112627546,58.18483516579425,1.958949970408833,459.0,-0.014940154341087131,-0.09653083682073804,0.8997821350762527,0.47856753812636166,-0.026606650186752963,-0.19038479896251437,0.005371040593003356,0.0028260984468303544,0.09653083682073804
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.45_ac0.20_rc0.20_vr1.20_hl30,C_dynamic,train,1.0,0.0002628425177915018,397.8499999999999,-0.00339373010730366,-0.0015644033495507941,0.010000369968103464,0.05000052852586209,-0.005371040593003356,-0.0028260984468303544,8.932292886602875,793.2292886602875,113.98118112627546,58.18483516579425,1.958949970408833,459.0,-0.014940154341087131,-0.09653083682073804,0.8997821350762527,0.47856753812636166,-0.026606650186752963,-0.19038479896251437,0.005371040593003356,0.0028260984468303544,0.09653083682073804
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.45_ac0.30_rc0.20_vr1.20_hl30,C_dynamic,train,1.0,0.0002628425177915018,397.8499999999999,-0.00339373010730366,-0.0015644033495507941,0.010000369968103464,0.05000052852586209,-0.005371040593003356,-0.0028260984468303544,8.932292886602875,793.2292886602875,113.98118112627546,58.18483516579425,1.958949970408833,459.0,-0.014940154341087131,-0.09653083682073804,0.8997821350762527,0.47856753812636166,-0.026606650186752963,-0.19038479896251437,0.005371040593003356,0.0028260984468303544,0.09653083682073804
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.35_ac0.20_rc0.30_vr1.20_hl60,C_dynamic,train,1.0,0.00019314316972815281,292.35000000000014,-0.003400152147326249,-0.0015673838061925382,0.010000369968103464,0.05000052852586209,-0.005382459343025976,-0.0028314966310247543,8.95870135748279,795.8701357482789,114.20075554338354,58.27198997667624,1.9597881518906968,459.0,-0.015103986382617528,-0.09658244922986903,0.9084967320261438,0.4905319535221496,-0.02678127715817615,-0.19020167247960362,0.005382459343025976,0.0028314966310247543,0.09658244922986903
C_dyn_ddm0.12_ddd0.24_cm0.45_cd0.25_bc0.35_ac0.30_rc0.30_vr1.20_hl60,C_dynamic,train,1.0,0.00019314316972815281,292.35000000000014,-0.003400152147326249,-0.0015673838061925382,0.010000369968103464,0.05000052852586209,-0.005382459343025976,-0.0028314966310247543,8.95870135748279,795.8701357482789,114.20075554338354,58.27198997667624,1.9597881518906968,459.0,-0.015103986382617528,-0.09658244922986903,0.9084967320261438,0.4905319535221496,-0.02678127715817615,-0.19020167247960362,0.005382459343025976,0.0028314966310247543,0.09658244922986903
