entry_time,exit_time,side,avg_entry,exit_price,quantity,num_entries,entry_scale_used,pnl,return_pct,reason
2022-02-05 06:44:00,2022-02-05 18:30:00,LONG,41193.265999999996,41700.0,0.04820493266614493,5,0.4,23.62302007277518,2.362302007277518,Take Profit
2022-02-05 19:30:00,2022-02-06 14:31:00,LONG,41480.81,42155.0,0.010849466111100225,1,0.44,7.131657859877313,0.7131657859877313,Take Profit
2022-02-06 20:47:00,2022-02-06 23:19:00,LONG,41586.01,42119.99,0.011886078487993576,1,0.48,6.146671588197359,0.6146671588197359,Take Profit
2022-02-07 00:19:00,2022-02-07 02:14:00,LONG,41697.5,42198.06,0.05137889336715021,4,0.52,24.850983013844345,2.4850983013844345,Take Profit
2022-02-07 02:58:00,2022-02-07 03:38:00,LONG,42322.4,42882.91,0.0140220091977155,1,0.56,7.618954552033621,0.7618954552033621,Take Profit
2022-02-07 06:38:00,2022-02-07 14:38:00,LONG,42512.39,43029.44,0.030014575111421832,2,0.6,15.002431917807778,1.5002431917807777,Take Profit
2022-02-07 16:44:00,2022-02-07 17:50:00,LONG,43496.21,44121.69,0.014919878850310264,1,0.6,9.068769715503732,0.9068769715503732,Take Profit
2022-02-07 18:49:00,2022-02-07 19:25:00,LONG,43809.46,44358.24,0.014933845236003378,1,0.6,7.9304199521733185,0.7930419952173319,Take Profit
2022-02-07 21:21:00,2022-02-08 04:49:00,LONG,43730.530000000006,44272.8,0.030010819601962932,2,0.6,15.74250193992683,1.574250193992683,Take Profit
2022-02-08 05:19:00,2022-02-08 05:50:00,LONG,44244.51,44813.15,0.015097363645567657,1,0.6,8.314340694754236,0.8314340694754236,Take Profit
2022-02-08 06:33:00,2022-02-08 20:40:00,LONG,43507.9328,44084.31,0.07515630448155816,5,0.6,41.99309480933984,4.199309480933984,Take Profit
2022-02-08 21:14:00,2022-02-09 12:41:00,LONG,43612.151999999995,44182.79,0.07359676795213782,5,0.6,40.69642825342927,4.069642825342927,Take Profit
2022-02-09 13:57:00,2022-02-09 19:27:00,LONG,43922.21,44464.05,0.015257832996794004,1,0.6,7.995934211278482,0.7995934211278483,Take Profit
2022-02-09 21:55:00,2022-02-10 10:13:00,LONG,43971.666000000005,44502.64,0.07585748071262496,5,0.6,38.92800670172056,3.8928006701720563,Take Profit
2022-02-10 11:48:00,2022-02-10 15:02:00,LONG,44028.337999999996,44708.91,0.07776216617454572,5,0.6,51.53208828218238,5.153208828218238,Take Profit
2022-02-10 15:57:00,2022-02-10 16:28:00,LONG,44832.0,45438.23,0.016226094936439842,1,0.6,9.541831519828461,0.9541831519828462,Take Profit
2022-02-10 17:45:00,2022-02-15 08:10:00,LONG,43270.898,43833.9,0.08103017483678443,5,0.6,44.19940306114809,4.4199403061148095,Take Profit
2022-02-15 12:40:00,2022-02-15 23:40:00,LONG,44119.1,44651.7,0.015972444705434095,1,0.6,8.221645326412723,0.8221645326412723,Take Profit
2022-02-17 20:00:00,2022-02-28 16:00:00,SHORT,41088.7,40812.9,0.08013456558777268,1,0.6,19.475853534329946,1.9475853534329945,Trend Up
2022-02-16 00:17:00,2022-02-28 22:32:00,LONG,41755.940599999994,42809.2,0.08013456558777268,5,0.6,83.03028581217428,8.303028581217427,Take Profit
2022-02-28 23:00:00,2022-03-01 00:11:00,LONG,43000.6,43538.2,0.011118189379565773,1,0.4,5.783512229316379,0.578351222931638,Take Profit
2022-03-01 01:14:00,2022-03-01 10:58:00,LONG,43040.15,43568.0,0.04883163561996722,4,0.44,24.924780181723335,2.4924780181723336,Take Profit
2022-03-01 11:48:00,2022-03-01 12:13:00,LONG,43361.8,43979.1,0.013559198049202796,1,0.48,8.13156442500255,0.813156442500255,Take Profit
2022-03-01 14:33:00,2022-03-01 23:38:00,LONG,43752.75,44304.4,0.029184486151196655,2,0.52,15.582421326012845,1.5582421326012845,Take Profit
2022-03-02 00:24:00,2022-03-02 14:43:00,LONG,43902.78,44637.8,0.07900085368450953,5,0.56,56.65663775254916,5.665663775254916,Take Profit
2022-03-04 20:00:00,2022-03-09 04:00:00,SHORT,39661.6,41277.9,0.08829471034472341,1,0.6,-145.56935221335542,-14.55693522133554,Trend Up
2022-03-10 08:00:00,2022-03-16 12:00:00,SHORT,39177.3,40546.6,0.08829471034472341,1,0.6,-123.71762633825006,-12.371762633825005,Trend Up
2022-03-02 15:09:00,2022-03-22 04:26:00,LONG,42301.32800000001,42883.6,0.08829471034472341,5,0.6,49.89697956562631,4.989697956562631,Take Profit
2022-03-22 05:12:00,2022-03-22 11:08:00,LONG,42381.92,42891.2,0.04575935441194039,5,0.4,22.51925456613158,2.251925456613158,Take Profit
2022-03-22 15:00:00,2022-03-23 23:48:00,LONG,42308.6,42869.5,0.04133676503558745,4,0.44,22.47695692898381,2.247695692898381,Take Profit
2022-03-24 00:31:00,2022-03-24 06:28:00,LONG,42763.4,43350.0,0.011503183320023747,1,0.48,6.548302136756702,0.6548302136756701,Take Profit
2022-03-24 07:12:00,2022-03-24 14:46:00,LONG,42885.1,43542.2,0.0373766021675817,3,0.52,23.909181489557373,2.390918148955737,Take Profit
2022-03-24 17:59:00,2022-03-25 11:28:00,LONG,43790.5,44335.0,0.013484387105803472,1,0.56,7.103116658175671,0.7103116658175671,Take Profit
2022-03-25 14:14:00,2022-03-27 20:34:00,LONG,44430.23333333333,44973.2,0.042681642814624145,3,0.6,22.406897303461516,2.2406897303461513,Take Profit
2022-03-28 00:45:00,2022-03-28 13:35:00,LONG,46856.5,47437.8,0.013867338312254963,1,0.6,7.7979493523582155,0.7797949352358216,Take Profit
2022-03-28 14:20:00,2022-03-28 18:52:00,LONG,47396.4,48044.1,0.013804798703162242,1,0.6,8.676072468288305,0.8676072468288306,Take Profit
2022-03-28 21:18:00,2022-03-29 12:20:00,LONG,47471.14,48042.8,0.06891781381612799,5,0.6,38.07315554788578,3.807315554788578,Take Profit
2022-03-29 13:48:00,2022-04-01 15:10:00,LONG,45981.14,46650.9,0.07156293383538379,5,0.6,46.59460045756235,4.6594600457562345,Take Profit
2022-04-01 16:36:00,2022-04-02 00:52:00,LONG,46094.96666666667,46800.0,0.042554735637877414,3,0.6,29.20588246475042,2.920588246475042,Take Profit
2022-04-02 01:17:00,2022-04-03 21:59:00,LONG,46269.83999999999,46963.6,0.07210164996507543,5,0.6,48.66677946045148,4.866677946045148,Take Profit
