regime_dimension,bucket,bars,dd20_rate_pct,avg_drawdown_pct,p90_drawdown_pct,avg_ema_below_pct,avg_run_len_4h,avg_flip_count_30_4h,avg_near_ema_ratio_30_4h
run_bin,run_1_3,89520,85.15974084003575,34.20390026701653,55.26100411516261,0.850434510452904,1.9597855227882037,1.7882037533512065,13.413762287756926
run_bin,run_4_8,121440,81.60326086956522,32.65566923411969,52.28582362347394,1.279714144524828,5.909090909090909,1.709486166007905,14.057971014492754
run_bin,run_9_16,167280,74.63354854136777,31.226438480133137,50.527287028321666,1.5734093964587315,12.416068866571019,1.5566714490674318,13.223338115734098
run_bin,run_17_plus,1784074,45.53790930196841,21.296511472991842,43.030523608086376,3.121963119205495,136.13630824730365,0.18018871414526527,3.062961513928234
flip_bin,flip_0_1,1931433,47.6705119980864,21.806139769841412,43.697537631402064,2.9677220483771287,125.9351512581591,0.20197801321609396,3.978258629732432
flip_bin,flip_2_3,218401,82.14568614612571,34.25649175835026,55.26100411516261,1.4356582147489247,11.665976804135513,2.3011021011808555,11.904753183364544
flip_bin,flip_4_5,10800,100.0,49.94803622390343,64.02372648822377,1.2473830728823712,5.311111111111111,4.333333333333333,21.77777777777778
flip_bin,flip_6_plus,1680,100.0,64.02372648822377,64.02372648822377,3.3186374108261103,4.0,6.0,39.04761904761905
near_ema_bin,near_0_20,2016802,49.39780900653609,22.49162462696007,46.56568783949489,2.948585625847244,119.30312048480714,0.3785334405658067,2.4381223342697993
near_ema_bin,near_20_40,99826,77.84244585578908,34.911895269692174,69.56060181589007,0.9230038952903658,31.00977701200088,1.5458898483361048,30.24702983190752
near_ema_bin,near_40_60,35040,79.95719178082192,30.28945930812226,43.030523608086376,0.623704722730662,49.657534246575345,0.7328767123287672,51.210045662100455
near_ema_bin,near_60_100,10646,99.85910201014465,31.761940641246568,37.211567207087064,0.36114495060753865,37.65677249671238,0.5751455945895172,80.17095622769115
