max_entries,hedge_multiple,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,profit_factor,hedge_open_events,hedge_close_events
3,3,7895.714474511218,689.5714474511218,65.28134916980368,52.61367061989405,1.240767815677163,546,480,66,90.84249084249085,2.8368915229381115,66,66
4,4,18733.804462108084,1773.3804462108087,103.92562300071724,64.88016380643353,1.6018088873938994,598,532,66,91.63879598662207,2.5073085521036833,66,66
5,5,28615.42758147987,2761.542758147987,126.05279361597827,76.83889295167448,1.6404816463877923,610,544,66,91.80327868852459,2.209246651097295,66,66
6,6,5946.099815303303,494.60998153033034,54.2675231985708,85.4924960017769,0.6347635843670173,427,361,66,88.2903981264637,2.0968916382449696,66,66
