variant,dca_drop_pct,case1_final_equity,case1_cagr_pct,case1_mdd_pct,case1_calmar_ratio,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,dca_signal_events,hedge_open_events,hedge_close_events,hedge_topup_events
baseline_drop0p50,0.005,18733.804462108084,103.92562300071724,64.88016380643353,1.6018088873938994,35703.728400496766,1685.1864200248383,101.4673658152283,50.338739340819494,2.0156914365344227,5408,66,66,0
dca_drop0p75,0.0075,21156.19003628643,110.04592915721285,52.773253137527064,2.0852595323322825,38126.11397467511,1806.3056987337554,104.70734554000711,52.241617709852015,2.0042898771157467,3843,66,66,0
dca_drop1p25,0.0125,7762.335618019049,64.5980126483057,63.81322421833783,1.0122982099647984,24732.259556407727,1136.6129778203863,84.26913790731486,50.99616872517845,1.6524601752230943,3022,66,66,0
dca_drop1p50,0.015,6988.532920786331,60.44796595093953,48.68596678239859,1.241589105565287,23958.456859175007,1097.9228429587504,82.85106635400798,50.54107273644915,1.6392819120805393,2215,66,66,0
dca_drop1p00,0.01,5375.258407907561,50.527351537236754,64.85808231907242,0.7790447964320784,22345.18234629624,1017.2591173148119,79.77925826389152,52.26114394596646,1.5265501716988137,6255,66,66,0
