timestamp,equity,wallet,reserve,margin,side,leverage,variant
2022-01-01 08:00:00,999.608,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-01 12:00:00,1008.8257201972579,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-01 16:00:00,1011.5966745826811,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-01 20:00:00,1019.5064707735063,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-02 00:00:00,1011.6756949914029,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-02 04:00:00,1008.3281221858363,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-02 08:00:00,1009.591191106151,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-02 12:00:00,1011.653267448344,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-02 16:00:00,1002.8207979440064,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-02 20:00:00,1010.6119587201456,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-03 00:00:00,1000.6109513414712,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-03 04:00:00,1005.6047477282112,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-03 08:00:00,1012.3749312871497,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-03 12:00:00,998.2451599535535,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-03 16:00:00,991.4238332123124,999.608,19.608,980.0,1,1.0,lev_1x
2022-01-03 20:00:00,992.3485080748095,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-04 00:00:00,995.1105298858324,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-04 04:00:00,990.7592877289705,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-04 08:00:00,986.8150384720645,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-04 12:00:00,982.3052303732231,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-04 16:00:00,1000.4699330450038,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-04 20:00:00,1005.1760110086207,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-05 00:00:00,993.1036338619123,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-05 04:00:00,993.3221071478896,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-05 08:00:00,995.9907070168742,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-05 12:00:00,988.8786998464161,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-05 16:00:00,1029.4782839128284,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-05 20:00:00,1055.6936119664424,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-06 00:00:00,1068.3518661801484,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-06 04:00:00,1059.8718350109193,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-06 08:00:00,1067.351245962398,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-06 12:00:00,1065.6202169735998,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-06 16:00:00,1055.9587962234389,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-06 20:00:00,1062.8506543780177,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-07 00:00:00,1089.872636913222,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-07 04:00:00,1091.9329468277695,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-07 08:00:00,1080.2367710440672,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-07 12:00:00,1100.1901059200281,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-07 16:00:00,1090.4099178130607,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-07 20:00:00,1094.8183442528293,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-08 00:00:00,1089.745700373143,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-08 04:00:00,1087.5215878606723,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-08 08:00:00,1087.1904217387835,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-08 12:00:00,1093.8367854627145,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-08 16:00:00,1109.8234581943302,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-08 20:00:00,1092.0075168084097,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-09 00:00:00,1088.916842470351,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-09 04:00:00,1089.9844918841827,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-09 08:00:00,1088.52618793694,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-09 12:00:00,1093.619568974164,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-09 16:00:00,1071.2515073093757,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-09 20:00:00,1088.5896562069793,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-10 00:00:00,1086.603287874359,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-10 04:00:00,1084.740295155776,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-10 08:00:00,1094.6004993655654,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-10 12:00:00,1106.9736700296883,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-10 16:00:00,1100.545360659259,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-10 20:00:00,1089.6300750099028,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-11 00:00:00,1080.2032564460264,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-11 04:00:00,1081.4558645477948,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-11 08:00:00,1089.6426429841683,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-11 12:00:00,1091.413261091902,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-11 16:00:00,1065.8137637772843,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-11 20:00:00,1070.7963371747364,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-12 00:00:00,1073.0535453527725,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-12 04:00:00,1073.9506892490726,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-12 08:00:00,1066.4750486898733,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-12 12:00:00,1053.0061601360599,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-12 16:00:00,1049.7131414123307,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-12 20:00:00,1046.078483254825,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-13 00:00:00,1054.0283553762988,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-13 04:00:00,1050.2263336948279,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-13 08:00:00,1052.124097808878,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-13 12:00:00,1060.9656677044704,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-13 16:00:00,1071.0196281841822,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-13 20:00:00,1074.2810175060104,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-14 00:00:00,1072.6587014946065,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-14 04:00:00,1072.1591245175632,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-14 08:00:00,1085.8267965310054,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-14 12:00:00,1062.7970310211526,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-14 16:00:00,1063.3726442425004,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-14 20:00:00,1063.63845689821,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-15 00:00:00,1066.2385613074493,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-15 04:00:00,1062.9767530531456,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-15 08:00:00,1064.6265091416951,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-15 12:00:00,1056.7761334831546,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-15 16:00:00,1054.119263723484,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-15 20:00:00,1063.0496473038838,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-16 00:00:00,1065.2280961765243,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-16 04:00:00,1060.9024089006687,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-16 08:00:00,1065.3644586973023,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-16 12:00:00,1060.173675859523,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-16 16:00:00,1068.3596164309452,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-16 20:00:00,1063.2559715480713,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-17 00:00:00,1072.1530499966684,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-17 04:00:00,1072.077642151077,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-17 08:00:00,1071.719454884518,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-17 12:00:00,1075.6808803729198,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-17 16:00:00,1080.8408716737492,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-17 20:00:00,1081.7794898851246,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-18 00:00:00,1084.9038882874618,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-18 04:00:00,1084.6353525706613,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-18 08:00:00,1088.7744054286782,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-18 12:00:00,1094.3945940538533,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-18 16:00:00,1092.1566567696905,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-18 20:00:00,1078.4020562675805,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-19 00:00:00,1091.9543123840203,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-19 04:00:00,1100.7389074629434,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-19 08:00:00,1084.9883031812765,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-19 12:00:00,1086.0741761577929,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
2022-01-19 16:00:00,1088.3121134419555,992.3485080748095,19.465600061555016,972.8829080132545,-1,1.0,lev_1x
