variant,overlay_name,core_weight,overlay_weight,rebalance_hours,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,fee_paid,rebalance_count,delta_cagr_vs_core85,delta_mdd_vs_core85,delta_calmar_vs_core85,meets_cagr_floor,is_live_overlay
buy_hold_reference_w6_rb4h,buy_hold_reference,0.94,0.06,4,46672.22495578301,2233.61124778915,115.04224662536711,41.631554660460914,2.7633425550313917,69.20958782144136,9016,-5.594114996605356,-2.2242439974934456,0.012592020014239313,True,True
buy_hold_reference_w7_rb4h,buy_hold_reference,0.9299999999999999,0.07,4,45818.517530667996,2190.9258765334,114.07945910466802,41.28323199733319,2.763336434318837,78.80653683409751,9016,-6.556902517304451,-2.5725666606211703,0.012585899301684744,True,True
buy_hold_reference_w5_rb4h,buy_hold_reference,0.95,0.05,4,47530.277084678426,2276.5138542339214,115.99659406917783,41.97991112206033,2.763145298995689,59.07522327733518,9016,-4.639767552794638,-1.8758875358940301,0.01239476397853645,True,True
buy_hold_reference_w8_rb4h,buy_hold_reference,0.92,0.08,4,44969.489824204,2148.4744912101996,113.10838639082532,40.934968614054,2.7631238088208128,87.87634527860538,9016,-7.527975231147153,-2.9208300439003594,0.012373273803660378,True,True
buy_hold_reference_w6_rb24h,buy_hold_reference,0.94,0.06,24,46649.31219935161,2232.465609967581,115.01658105608783,41.63649014607324,2.7623985752059146,31.245477510823545,1503,-5.619780565884639,-2.219308511881117,0.011648040188762199,True,True
buy_hold_reference_w5_rb24h,buy_hold_reference,0.95,0.05,24,47510.531531678615,2275.526576583931,115.9747797469481,41.98396304789275,2.7623590372983875,26.67389360416194,1503,-4.661581875024368,-1.8718356100616091,0.011608502281235111,True,True
buy_hold_reference_w7_rb24h,buy_hold_reference,0.9299999999999999,0.07,24,45792.68132845157,2189.634066422578,114.05011080696012,41.28907316460906,2.762234704379807,35.57338959028219,1503,-6.586250815012349,-2.5667254933453023,0.011484169362654395,True,True
buy_hold_reference_w4_rb24h,buy_hold_reference,0.96,0.04,24,48376.00207085518,2318.8001035427587,116.92455370330515,42.33146753368571,2.762119069230501,21.853932204344165,1503,-3.7118079186673185,-1.5243311242686488,0.011368534213348713,True,True
buy_hold_reference_w10_rb4h,buy_hold_reference,0.9,0.1,4,43286.76471239969,2064.3382356199845,111.14200826600795,40.23872235401599,2.7620660340105334,104.47671294098251,9016,-9.49435335596452,-3.6170763039383687,0.011315498993381023,True,True
buy_hold_reference_w8_rb24h,buy_hold_reference,0.92,0.08,24,44940.9664469381,2147.0483223469055,113.07552277244075,40.94173657093626,2.7618643526887148,39.66243170501939,1503,-7.56083884953172,-2.9140620870181024,0.011113817671562387,True,True
buy_hold_reference_w4_rb4h,buy_hold_reference,0.96,0.04,4,48392.32928748319,2319.6164643741595,116.94234726949801,42.350465270333416,2.7613001775311394,48.393403630751145,9016,-3.694014352474454,-1.5053333876209436,0.010549642513987045,True,True
buy_hold_reference_w10_rb24h,buy_hold_reference,0.9,0.1,24,43253.54540158294,2062.677270079147,111.10261119935512,40.24740305687191,2.7604914295305143,47.143548311194934,1503,-9.533750422617345,-3.6083956010824494,0.009740894513361908,True,True
buy_hold_reference_w12_rb4h,buy_hold_reference,0.88,0.12,4,41626.53239657468,1981.326619828734,109.14436415700206,39.54302265829557,2.7601421646532907,119.09693938443533,9016,-11.49199746497041,-4.31277599965879,0.009391629636138266,True,True
buy_hold_reference_w3_rb24h,buy_hold_reference,0.97,0.03,24,49245.37697378735,2362.2688486893676,117.86575038269613,42.7137400330472,2.7594340905644077,16.780991590231636,1503,-2.7706112392763345,-1.1420586249071576,0.008683555547255306,True,True
buy_hold_reference_w3_rb4h,buy_hold_reference,0.97,0.03,4,49258.02747613393,2362.9013738066965,117.87935281647503,42.72953342731442,2.758732505633255,37.15434216670725,9016,-2.757008805497435,-1.1262652306399374,0.007981970616102618,True,True
buy_hold_reference_w12_rb24h,buy_hold_reference,0.88,0.12,24,41589.47039897506,1979.4735199487534,109.09908704463591,39.553687868034025,2.7582532230276855,53.7288749358092,1503,-11.53727457733656,-4.302110789920334,0.0075026880105331095,True,True
buy_hold_reference_w2_rb24h,buy_hold_reference,0.98,0.02,24,50118.299961291516,2405.9149980645757,118.79821791361587,43.096194395288364,2.756582560955867,11.450581767904668,1503,-1.838143708356597,-0.7596042626659951,0.005832025938714569,True,True
buy_hold_reference_w2_rb4h,buy_hold_reference,0.98,0.02,4,50127.00827587703,2406.3504137938517,118.80745809663384,43.10677479221713,2.7561203237613676,25.348522522993445,9016,-1.8289035253386317,-0.7490238657372288,0.0053697887442152314,True,True
buy_hold_reference_w2_rb168h,buy_hold_reference,0.98,0.02,168,49966.659869071125,2398.332993453556,118.63712109249525,43.07655174437946,2.7540997663067306,4.476900830797193,215,-1.9992405294772198,-0.7792469135749016,0.003349231289578203,True,True
buy_hold_reference_w15_rb4h,buy_hold_reference,0.85,0.15,4,39183.39106138065,1859.1695530690326,106.09203450678267,38.52229399701022,2.754042490694262,137.50960557182776,9016,-14.544327115189802,-5.333504660944136,0.0032919556771098257,True,True
buy_hold_reference_w1_rb24h,buy_hold_reference,0.99,0.01,24,50994.405484877476,2449.720274243874,119.72180513270483,43.4768792928679,2.75368902000159,5.858332275682332,1503,-0.914556489267639,-0.3789193650864604,0.002938484984437828,True,True
buy_hold_reference_w1_rb4h,buy_hold_reference,0.99,0.01,4,50998.8992114468,2449.94496057234,119.72651133245975,43.48219474267321,2.753460630057865,12.96671619209073,9016,-0.9098502895127183,-0.37360391528115144,0.0027100950407126234,True,True
buy_hold_reference_w15_rb24h,buy_hold_reference,0.85,0.15,24,39142.028981108786,1857.1014490554394,106.03913364943938,38.51471288178886,2.7532110644287964,62.01739583353844,1503,-14.59722797253309,-5.3410857761654995,0.0024605294116439858,True,True
buy_hold_reference_w1_rb168h,buy_hold_reference,0.99,0.01,168,50915.99419076251,2445.7997095381256,119.63963580962083,43.45979287297806,2.752880948128241,2.2928279351571663,215,-0.9967258123516416,-0.3960057849762961,0.002130413111088636,True,True
buy_hold_reference_w3_rb168h,buy_hold_reference,0.97,0.03,168,49025.51938387792,2351.275969193896,117.62892532651632,42.75377742468768,2.7513107007614455,6.554451318870106,215,-3.007436295456145,-1.102021233266683,0.000560165744293073,True,True
gap12_reference_w1_rb24h,gap12_reference,0.99,0.01,24,50840.98118559195,2442.0490592795977,119.56093795019518,43.47575259232565,2.750060224864287,6.146058040868646,1503,-1.075423671777287,-0.38004606562871146,-0.0006903101528652478,True,True
gap12_reference_w2_rb24h,gap12_reference,0.98,0.02,24,49816.83975056893,2390.8419875284467,118.47759390425847,43.093856720985166,2.7492919622244933,11.979197588794179,1503,-2.1587677177139994,-0.761941936969194,-0.0014585727926590408,True,True
gap12_reference_w1_rb4h,gap12_reference,0.99,0.01,4,50813.932260758666,2440.6966130379333,119.53253874413838,43.48079458754556,2.749088186589321,13.085374045708846,9016,-1.1038228778340908,-0.37500407040879935,-0.0016623484278315281,True,True
gap12_reference_w1_rb168h,gap12_reference,0.99,0.01,168,50789.68074341216,2439.4840371706077,119.50706686156477,43.47797054089397,2.7486808922960257,2.576782703256135,215,-1.1292947604077028,-0.377828117060389,-0.002069642721126641,True,True
gap12_reference_w3_rb24h,gap12_reference,0.97,0.03,24,48801.23356951943,2340.0616784759713,117.38650048920087,42.71010748295083,2.748447789227869,17.506685606357937,1503,-3.249861132771599,-1.1456911750035275,-0.002302745789283467,True,True
buy_hold_reference_w4_rb168h,buy_hold_reference,0.96,0.04,168,48092.76797071809,2304.6383985359043,116.61515646917309,42.430762386329356,2.748363449315372,8.527728040521877,215,-4.021205152799382,-1.4250362716250038,-0.002387085701780478,True,True
gap12_reference_w4_rb24h,gap12_reference,0.96,0.04,24,47794.488281048245,2289.724414052412,116.28782914377153,42.32450135392649,2.7475298095386393,22.735835041243934,1503,-4.348532478200937,-1.5312973040278663,-0.0032207254785130424,True,True
gap12_reference_w2_rb4h,gap12_reference,0.98,0.02,4,49764.30250826918,2388.215125413459,118.42156669516174,43.103905994572635,2.7473511730021083,25.49441404748633,9016,-2.2147949268107254,-0.7518926633817244,-0.003399362015044094,True,True
study111_proxy_w1_rb24h,study111_proxy,0.99,0.01,24,50779.66861818185,2438.9834309090925,119.49654822929526,43.496419337608685,2.7472732249933483,5.766736199292978,1503,-1.1398133926772118,-0.3593793203456741,-0.0034773100238041366,True,True
gap12_reference_w2_rb168h,gap12_reference,0.98,0.02,168,49717.87168119605,2385.8935840598024,118.37201426014757,43.09840725132611,2.7465519449446787,5.016881482821287,215,-2.2643473618249033,-0.7573914066282512,-0.004198590072473696,True,True
gap12_reference_w5_rb24h,gap12_reference,0.95,0.05,24,46796.916156459294,2239.8458078229646,115.181751698579,41.937034846709885,2.746540191017235,27.67399527221087,1503,-5.454609923393463,-1.9187638112444745,-0.004210343999917487,True,True
study111_proxy_w1_rb168h,study111_proxy,0.99,0.01,168,50763.06915833832,2438.153457916916,119.47910555395431,43.50547796889314,2.746300262219463,2.4297040385907476,215,-1.1572560680181567,-0.3503206890612205,-0.00445027279768917,True,True
study111_exact_w1_rb24h,study111_exact,0.99,0.01,24,50729.919496537426,2436.495974826871,119.44425903927502,43.49641933760871,2.7460710756942435,5.738063268241144,1503,-1.1921025826974443,-0.3593793203456528,-0.004679459322908919,True,True
study111_proxy_w1_rb4h,study111_proxy,0.99,0.01,4,50730.99766246821,2436.549883123411,119.44539266510668,43.50134548086487,2.745786166950805,12.164154846571611,9016,-1.1909689568657882,-0.3544531770894892,-0.004964368066347369,True,True
gap12_reference_w3_rb4h,gap12_reference,0.97,0.03,4,48724.72652242716,2336.236326121358,117.30361306872439,42.72512781612162,2.7455415364365936,37.243502882498966,9016,-3.3327485532480807,-1.130670841832739,-0.005208998580558788,True,True
gap12_reference_w6_rb24h,gap12_reference,0.94,0.06,24,45808.816077599025,2190.440803879951,114.06844033437112,41.547704511606156,2.7454811685807248,32.32854277035207,1503,-6.567921287601351,-2.3080941463482034,-0.005269366436427614,True,True
study111_exact_w1_rb168h,study111_exact,0.99,0.01,168,50722.90464159292,2436.145232079646,119.43688290104508,43.50547796889322,2.7453297487374684,2.449457962605124,215,-1.199478720927388,-0.35032068906114233,-0.005420786279684009,True,True
buy_hold_reference_w5_rb168h,buy_hold_reference,0.95,0.05,168,47168.5926758847,2258.4296337942346,115.59592256446689,42.107521480088,2.7452559186873637,10.398993382928598,215,-5.04043905750558,-1.7482771778663562,-0.0054946163297886486,True,True
study111_exact_w1_rb4h,study111_exact,0.99,0.01,4,50685.39110243035,2434.2695551215174,119.3974242060444,43.50134548086495,2.7446834778607956,12.161101147741833,9016,-1.2389374159280635,-0.35445317708941104,-0.006067057156356803,True,True
