symbol,variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,return_2026_pct,mdd_2026_pct,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,short_sweep_events,gated_entries,blocked_short_gate,blocked_long_quality_bearish_ob,blocked_long_quality_delay,blocked_long_quality_cap,blocked_long_quality_cooldown,bulltrim_count,unlock_short_lock_count,slow_bear_short_entries,survived_to_end
BTCUSDT,combo_trim2p0_unlock24h,213826.42612301745,21282.642612301745,180.76405308447337,63.97840034221949,2.825391884097902,19.1725148243272,44.95496589039673,238,134,104,34,154,49,0,8,12776,719,87,27622,4557,50,0,0,65,41,17,1
ETHUSDT,combo_trim2p0_unlock24h,3807.408494706656,280.7408494706656,29.336916844770865,97.4862833969593,0.30093379111923263,-1.1574555078293192,55.32179213436423,299,154,145,73,173,53,0,12,16690,772,132,34338,4821,61,0,0,72,41,13,1
