period_start,period_end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,long_win_rate_pct,short_win_rate_pct,profit_factor,avg_holding_hours,touch_window,mode
2022-01-01 03:20:00,2026-02-12,23033.216080175058,2203.3216080175057,114.43299849054998,69.08194056433634,1.6564821074181897,663,597,66,92.45852187028657,99.83249581239531,25.757575757575758,2.979888646460804,69.59997486173957,1,touch_last_1_4h
2022-01-01 03:20:00,2026-02-12,21465.96083750666,2046.5960837506661,110.78971021787596,68.95190786598391,1.606767871212624,660,594,66,92.42424242424242,99.83164983164983,25.757575757575758,2.9806675344482207,69.80229797979798,2,touch_last_2_4h
2022-01-01 03:20:00,2026-02-12,21271.547732366955,2027.1547732366955,110.32386816446609,69.04903243340333,1.5977612469931664,655,589,66,92.36641221374046,99.830220713073,25.757575757575758,2.9812783794949462,70.18679389312977,3,touch_last_3_4h
2022-01-01 03:20:00,2026-02-12,18672.469336860206,1767.2469336860206,103.76306283801088,69.31458366238735,1.496987464332366,645,579,66,92.24806201550388,99.8272884283247,25.757575757575758,2.9969903471012973,71.16922480620156,4,touch_last_4_4h
2022-01-01 03:20:00,2026-02-12,17826.220764341,1682.6220764340999,101.47784566057534,69.11876582254291,1.4681663431478489,638,572,66,92.16300940438872,99.82517482517483,25.757575757575758,2.9899160325450955,71.81183385579938,5,touch_last_5_4h
2022-01-01 03:20:00,2026-02-12,15753.85724634211,1475.3857246342109,95.51292702537839,69.8055560241744,1.3682711300559123,630,564,66,92.06349206349206,99.822695035461,25.757575757575758,2.9944001905903517,72.58140211640212,6,touch_last_6_4h
