variant,strategy_type,rebalance_rule,w1,w2,w3,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,win_rate_pct,note,rebalance_count,fee_paid
case1_only,solo,none,1.0,0.0,0.0,6658.514263906771,232.92571319533852,26.040068266477245,77.95211005157128,0.3340521282778587,505.0,87.72277227722772,study62 shallow6_else2bull,,
case2_only,solo,none,0.0,1.0,0.0,130370.95726152141,6418.547863076072,123.39522653208044,73.71368924940137,1.6739797965420993,2057.0,99.70831307729703,study42 case2 sleeve,,
case3_only,solo,none,0.0,0.0,1.0,239316.8077595757,11865.840387978784,151.09154124569417,64.58087249455677,2.3395710743677083,123.0,,study117/current case3 source lv3p0_g12_body25_tp20_lb5_none,,
study119_current_mix,mix,1h,0.49,0.27,0.24,78427.43467113256,3821.371733556628,102.58390299520603,65.8846205628065,1.5570235074422996,,,119 winner,45557.0,1386.245156317922
study120_current_mix,mix,30min,0.46,0.24,0.3,105840.59469100255,5192.029734550128,114.61231016419329,64.49416503373529,1.7770958055545405,,,120 winner,91114.0,3041.6961661819664
