side,threshold_pct,hold_hours,events,tp_pct,sl_pct,expectancy_pct,median_return_pct,win_rate_pct,tp_hit_rate_pct,stop_hit_rate_pct,timeout_rate_pct,avg_hold_hours,profit_factor
long,4.0,24,610,1.0,1.0,-0.09635972365015592,-0.12601068562956613,49.34426229508197,46.22950819672131,48.85245901639344,4.918032786885246,5.226229508196721,0.8183168786451891
long,4.0,24,610,1.0,1.5,-0.0953921296019064,0.92,58.68852459016394,54.09836065573771,37.37704918032787,8.524590163934425,6.825409836065574,0.8424465664341594
long,4.0,24,610,1.0,2.0,-0.09612395533603908,0.92,64.59016393442623,59.34426229508196,30.327868852459016,10.327868852459018,7.858606557377049,0.8534584873947264
long,4.0,24,610,1.0,3.0,-0.09675506907931403,0.92,70.32786885245902,63.934426229508205,20.163934426229506,15.901639344262295,9.60860655737705,0.8621714048161676
long,4.0,24,610,1.0,4.0,-0.09335575003316741,0.92,71.80327868852459,65.40983606557377,11.639344262295081,22.950819672131146,10.740573770491803,0.8689136839985941
long,4.0,24,610,1.0,5.0,-0.06367850592325158,0.92,72.78688524590164,66.22950819672131,6.393442622950819,27.377049180327866,11.37377049180328,0.9078281214550126
long,4.0,24,610,1.0,6.0,-0.06296358607760724,0.92,73.27868852459017,66.72131147540983,4.754098360655737,28.524590163934427,11.62377049180328,0.9093627409634399
long,4.0,24,610,1.0,8.0,-0.01641403832542027,0.92,74.26229508196721,67.70491803278689,2.1311475409836063,30.16393442622951,11.86967213114754,0.9750233854369644
long,4.0,24,610,1.5,1.0,-0.08113634705614058,-1.08,42.62295081967213,34.0983606557377,55.40983606557377,10.491803278688524,7.229918032786885,0.8651685660592764
long,4.0,24,610,1.5,1.5,-0.06484555201855575,0.1945036246739607,51.967213114754095,41.47540983606557,42.950819672131146,15.573770491803279,9.314344262295082,0.9069355084358035
long,4.0,24,610,1.5,2.0,-0.05328942105630268,0.5439032630773412,58.19672131147541,46.885245901639344,35.40983606557377,17.704918032786885,10.688114754098361,0.9303561946105947
long,4.0,24,610,1.5,3.0,-0.054390487574042835,1.42,63.934426229508205,50.98360655737705,22.950819672131146,26.065573770491802,12.783606557377048,0.934578829272698
long,4.0,24,610,1.5,4.0,-0.056932370418727805,1.42,65.08196721311475,51.80327868852459,12.786885245901638,35.40983606557377,14.074180327868852,0.9327818176222447
long,4.0,24,610,1.5,5.0,-0.02518186341809361,1.42,66.06557377049181,52.131147540983605,6.885245901639345,40.98360655737705,14.764754098360656,0.9694192505939596
long,4.0,24,610,1.5,6.0,-0.022179812028135765,1.42,66.55737704918033,52.622950819672134,5.081967213114754,42.295081967213115,15.029508196721311,0.9731945385571826
long,4.0,24,610,1.5,8.0,0.03693606348527404,1.42,67.54098360655738,53.60655737704918,2.1311475409836063,44.26229508196721,15.301639344262295,1.047215450393878
long,4.0,24,610,2.0,1.0,-0.05615881907989324,-1.08,39.18032786885246,27.049180327868854,58.68852459016394,14.262295081967213,8.520081967213114,0.911981736172646
long,4.0,24,610,2.0,1.5,-0.014250028481296131,-0.11575557494593373,49.18032786885246,33.442622950819676,45.24590163934426,21.311475409836063,11.030327868852458,0.980595890382792
long,4.0,24,610,2.0,2.0,0.02083401514778771,0.2584595182987837,55.73770491803278,38.36065573770492,37.049180327868854,24.59016393442623,12.679508196721311,1.0259514709777096
long,4.0,24,610,2.0,3.0,0.01722495125980486,0.4435828306295098,60.983606557377044,41.147540983606554,23.934426229508198,34.91803278688524,15.030327868852458,1.019678768730866
long,4.0,24,610,2.0,4.0,0.011005229468139859,0.5259180149619148,62.13114754098361,41.967213114754095,13.60655737704918,44.42622950819673,16.33483606557377,1.0122461083355523
long,4.0,24,610,2.0,5.0,0.06968256358148042,0.5505733026583216,63.44262295081967,42.459016393442624,7.049180327868852,50.49180327868853,17.14672131147541,1.0816647342195136
long,4.0,24,610,2.0,6.0,0.07350428710258576,0.5858708447662032,63.934426229508205,42.950819672131146,5.245901639344262,51.80327868852459,17.417622950819673,1.0855798653441555
long,4.0,24,610,2.0,8.0,0.13425950687829066,0.7020970067982325,64.91803278688525,43.9344262295082,2.2950819672131146,53.77049180327869,17.690573770491802,1.164326891754087
long,4.0,24,610,3.0,1.0,-0.05021555733794209,-1.08,35.40983606557377,15.245901639344261,61.967213114754095,22.78688524590164,10.26639344262295,0.9255621739143313
