rank_by_final_equity,period_start,period_end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_amount,calmar_ratio,annual_volatility_pct,sharpe_365,sortino_365,trades,long_trades,short_trades,win_rate_pct,long_win_rate_pct,short_win_rate_pct,gross_profit,gross_loss,net_pnl_sum,profit_factor,avg_pnl_per_trade,median_pnl_per_trade,avg_return_pct_per_trade,median_return_pct_per_trade,avg_holding_hours,median_holding_hours,max_consecutive_wins,max_consecutive_losses,best_trade_pnl,worst_trade_pnl,best_trade_reason,worst_trade_reason,case_id,band,band_pct,take_profit_pct,stop_loss_pct,entry_scale,worst_month,max_dd_peak_time,max_dd_trough_time,max_dd_recovery_time,max_dd_peak_to_trough_days,max_dd_recovery_days
1,2022-01-01 03:20:00,2026-02-12,9785.965573959744,878.5965573959745,74.1369001490264,51.72679457361726,4515.179166424177,1.4332397891679758,67.52601127815187,1.15154749194932,1.4867741124352076,656,541,115,86.28048780487805,99.81515711645102,22.608695652173914,37531.51174282393,-13559.832761197486,23971.678981626446,2.7678447370105674,36.54219356955251,15.318255153048325,3.65421935695525,1.5318255153048326,75.16592987804879,4.0,115,22,7898.271250928389,-8578.956622491707,Final Hedge Close,Final Close,h0.00_tp0.80_sl4.00,0.0,0.0,0.008,0.04,0.4,2025-01 (-32.4929%),2022-03-13 23:01:00,2023-01-06 13:29:00,2024-01-11 11:53:00,298.60277777777776,668.5361111111112
2,2022-01-01 03:20:00,2026-02-12,7389.201177840002,638.9201177840002,62.637938144067704,67.97238194587597,2971.9427288498546,0.9215204227202763,71.43694060466456,1.021823725246428,1.3243064541742373,613,541,72,91.35399673735726,99.81515711645102,27.77777777777778,29013.541924937294,-10584.757945495792,18428.783979441505,2.7410680597834203,30.06326913448859,15.819079769414207,3.0063269134488584,1.5819079769414206,80.51035889070148,3.816666666666667,124,9,5963.838191456526,-6477.811095947232,Final Hedge Close,Final Close,h0.50_tp0.80_sl4.00,0.005,0.5,0.008,0.04,0.4,2025-01 (-49.2247%),2024-12-17 03:45:00,2025-04-24 08:35:00,2025-07-16 19:37:00,128.20138888888889,211.6611111111111
3,2022-01-01 03:20:00,2026-02-12,5668.5441541022765,466.85441541022766,52.484611337221,56.02671871252942,2402.076760016811,0.936778246938165,67.07188492747603,0.9573056543024483,1.1934377706009025,596,541,55,92.61744966442953,99.81515711645102,21.818181818181817,22812.239386215908,-8172.562091516364,14639.677294699544,2.7913204122237816,24.563216937415344,14.192229013495542,2.4563216937415344,1.419222901349554,82.3369966442953,3.466666666666667,108,12,4566.729522958577,-5007.3103592355765,Final Hedge Close,Final Close,h1.00_tp0.80_sl4.00,0.01,1.0,0.008,0.04,0.4,2025-01 (-31.3668%),2024-12-17 03:45:00,2025-04-24 08:35:00,2025-06-11 15:36:00,128.20138888888889,176.49375
4,2022-01-01 03:20:00,2026-02-12,4949.6914463004705,394.969144630047,47.5382295927445,52.947852774645824,2477.581679435106,0.8978311130967764,61.472469520827076,0.9309256756540782,1.2096832120006673,622,507,115,85.53054662379421,99.80276134122288,22.608695652173914,26360.06298986031,-12168.450095613614,14191.6128942467,2.166262981952186,22.81609790071817,13.14988424231068,2.281609790071816,1.314988424231068,84.34139871382638,4.0,130,22,3556.5795826855497,-7933.352595760153,Final Hedge Close,Final Close,h0.00_tp0.80_sl2.00,0.0,0.0,0.008,0.02,0.4,2025-01 (-32.0074%),2024-12-05 22:01:00,2025-05-06 21:30:00,2025-07-16 07:35:00,151.97847222222222,222.3986111111111
5,2022-01-01 03:20:00,2026-02-12,4840.295390650857,384.0295390650857,46.738555808391254,50.74209128789613,3098.79636685866,0.9211003059217651,70.47367129898332,0.876226541916294,1.1730964198043021,259,144,115,65.25096525096525,99.30555555555556,22.608695652173914,21858.019905456997,-12701.912477854501,9156.107427602496,1.7208447895988863,35.35176612973937,18.200293410839368,3.535176612973937,1.820029341083937,207.58018018018024,12.0,50,22,3530.6302037931528,-8477.611563654835,Final Hedge Close,Final Close,h0.00_tp1.60_sl2.00,0.0,0.0,0.016,0.02,0.4,2025-01 (-32.0074%),2024-03-12 11:24:00,2024-05-20 13:39:00,2024-07-05 09:06:00,69.09375,114.90416666666667
6,2022-01-01 03:20:00,2026-02-12,4384.137534711459,338.4137534711459,43.248695085293384,53.802685291349704,2282.4861179549553,0.8038389692093459,74.80301137005026,0.8321301600261674,1.0833146578923103,232,117,115,61.206896551724135,99.14529914529915,22.608695652173914,20382.137166302637,-11211.647640676294,9170.489525626344,1.817943073090832,39.527972093217,16.052707734641352,3.9527972093217,1.6052707734641352,232.45050287356324,12.875,38,22,3171.8427179358096,-6928.103366357501,Final Hedge Close,Final Close,h0.00_tp1.60_sl4.00,0.0,0.0,0.016,0.04,0.4,2025-01 (-32.4929%),2024-03-12 11:24:00,2024-05-20 13:39:00,2024-11-27 21:02:00,69.09375,260.4013888888889
7,2022-01-01 03:20:00,2026-02-12,3933.427150940604,293.3427150940604,39.5191816871121,68.76580326817029,2455.6791708577207,0.5746923588312738,66.06591221637126,0.8168507012314996,1.05494315809191,579,507,72,90.84628670120898,99.80276134122288,27.77777777777778,21093.702571483052,-9586.528461267771,11507.174110215283,2.2003484010617034,19.87422126116629,13.771077981422662,1.9874221261166292,1.3771077981422661,90.68108808290155,3.466666666666667,128,9,2683.1515707099393,-5985.0727316599005,Final Hedge Close,Final Close,h0.50_tp0.80_sl2.00,0.005,0.5,0.008,0.02,0.4,2025-01 (-48.4006%),2024-12-05 22:01:00,2025-04-24 08:35:00,2025-07-17 09:29:00,139.44027777777777,223.4777777777778
8,2022-01-01 03:20:00,2026-02-12,3791.207650057265,279.12076500572647,38.275322235130126,69.53852945915801,2377.289664726962,0.550418919307322,82.93605739699184,0.7573465145421832,1.0338028192473736,216,144,72,75.46296296296296,99.30555555555556,27.77777777777778,17180.898578774777,-9944.84161383677,7236.056964938007,1.7276191261678928,33.500263726564846,21.031117464283703,3.3500263726564845,2.103111746428371,249.10771604938273,16.0,48,9,2623.279860178407,-6298.917301919227,Final Hedge Close,Final Close,h0.50_tp1.60_sl2.00,0.005,0.5,0.016,0.02,0.4,2024-04 (-50.8573%),2024-03-12 11:24:00,2024-05-20 16:15:00,2024-11-18 15:42:00,69.20208333333333,251.17916666666667
9,2022-01-01 03:20:00,2026-02-12,3369.8122423179757,236.98122423179754,34.36956801780284,72.53032876262016,2367.957312979085,0.47386477635154234,88.56708632228803,0.7200225658834672,0.9720321941358596,189,117,72,71.95767195767195,99.14529914529915,27.77777777777778,15766.7858449284,-8818.295792731478,6948.490052196919,1.7879629143223168,36.76449763067153,27.044777550242042,3.6764497630671524,2.7044777550242043,285.5688712522046,21.233333333333334,40,9,2313.671777146511,-5053.641890013623,Final Hedge Close,Final Close,h0.50_tp1.60_sl4.00,0.005,0.5,0.016,0.04,0.4,2024-04 (-53.1121%),2024-03-12 11:24:00,2024-05-20 16:15:00,2025-07-17 07:37:00,69.20208333333333,491.84236111111113
10,2022-01-01 03:20:00,2026-02-12,2896.6168906058274,189.66168906058275,29.51519145136392,57.538173880576174,1791.5821375944029,0.5129671218385279,62.935355720688854,0.7165862635765159,0.8769188927782372,562,507,55,92.17081850533808,99.80276134122288,21.818181818181817,17024.0307251407,-7996.923107897346,9027.107617243355,2.128822610327296,16.062469069828033,12.038240753597297,1.6062469069828034,1.2038240753597296,92.9258896797153,3.25,128,12,2264.8728665878016,-5099.937428332701,Final Hedge Close,Final Close,h1.00_tp0.80_sl2.00,0.01,1.0,0.008,0.02,0.4,2024-04 (-30.9462%),2024-12-05 22:01:00,2025-04-24 08:35:00,2025-07-16 00:40:00,139.44027777777777,222.11041666666668
