variant,leverage,tp_return_pct,cut_fraction,move_stop_to_entry,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_partials,liquidations,be_activations,survived_to_end,first_liquidation_ts
ptp20_cut50_nobe_2x,2.0,20.0,0.5,0,4461.19026948911,346.11902694891097,42.775264367684464,50.85831603734006,0.8410672570495445,140,70,70,9,130,28,0,0,1,
ptp20_cut50_be_2x,2.0,20.0,0.5,1,4231.118143503669,323.1118143503669,40.986347044562635,50.85831603734006,0.8058927278376766,143,71,72,16,126,28,0,28,1,
ptp20_cut25_be_2x,2.0,20.0,0.25,1,4283.549957441598,328.3549957441598,41.40043132950677,52.8368941411716,0.7835515694562126,143,71,72,16,126,28,0,28,1,
ptp20_cut25_be_1.5x,1.5,20.0,0.25,1,3344.5491128144836,234.45491128144837,33.30913652772256,43.70045377096835,0.7622148891701191,140,70,70,10,129,19,0,19,1,
base_1.5x,1.5,,0.0,0,3629.73447617045,262.973447617045,35.93220678622122,49.87150616786311,0.7204957208486259,140,70,70,9,130,0,0,0,1,
ptp20_cut50_be_1.5x,1.5,20.0,0.5,1,2886.303666133169,188.63036661331688,28.71249999835559,43.70045377096833,0.6570297907851533,140,70,70,10,129,19,0,19,1,
base_2x,2.0,,0.0,0,3916.270040388206,291.6270040388206,38.41402252772106,59.857508062779054,0.6417577973248086,140,70,70,9,130,0,0,0,1,
ptp30_cut50_be_2x,2.0,30.0,0.5,1,2935.0995417630043,193.50995417630043,29.227367588952614,57.46883967250478,0.5085776527855681,140,70,70,9,130,17,0,17,1,
