tail_q,regime,bars,tail_thr_case1,tail_thr_case2,p_case1_tail,p_case2_tail,p_joint_tail,p_joint_independent,joint_lift_vs_independence,p_case2_tail_given_case1_tail,p_case1_tail_given_case2_tail
0.01,all_bars,2162313,-0.006048779758748846,-0.0054232940505649545,0.0034000628031186975,0.004463276130698932,0.0014438242752090008,1.5175419152036985e-05,95.14229957959331,0.4246463547334059,0.3234897938037509
0.01,case1_drawdown_any,2094431,-0.006048779758748846,-0.0054232940505649545,0.003510261259501984,0.004257480910089662,0.0014906196480094116,1.494487030175699e-05,99.74122343732668,0.4246463547334059,0.35011775260737915
0.01,case1_drawdown_10pct,1688726,-0.006048779758748846,-0.0054232940505649545,0.0036672615924667473,0.003978146839688617,0.0014525743074957098,1.4588905114383037e-05,99.56705428590615,0.3960923623445826,0.36513843405775526
0.05,all_bars,2162313,-0.0031464305176658602,-0.0027667009639849027,0.016999851547856392,0.022314530782546284,0.008592188087478548,0.00037934371066335854,22.650139822941533,0.5054272423080062,0.3850490145281963
0.05,case1_drawdown_any,2094431,-0.0031464305176658602,-0.0027667009639849027,0.017550828840864178,0.02166984732368839,0.008870667021257802,0.00038032378138571363,23.323987232503406,0.5054272423080062,0.4093553078041687
0.05,case1_drawdown_10pct,1688726,-0.0031464305176658602,-0.0027667009639849027,0.017570642010604445,0.02085240589651607,0.00822928053455682,0.0003663901590675011,22.460430038571847,0.46835400377460235,0.3946441756119725
