ema_below_threshold_pct,bars_with_gap,bars_with_dd20_and_gap,p_dd20_given_gap_pct,dd20_coverage_pct,time_coverage_pct
0.0,2162314,1112611,51.45464534753047,100.0,100.0
0.5,1022318,539564,52.778489667598535,48.495296199660075,47.278887340136535
1.0,961955,489389,50.87441720246789,43.985633792942906,44.48729462973463
2.0,812644,368842,45.38789433011257,33.15102942537868,37.58214579381163
3.0,656955,258880,39.406047598389534,23.26779080918668,30.382035171580075
5.0,448081,124421,27.767524175316517,11.182794345912454,20.72229102711262
8.0,247818,45294,18.277122727162677,4.070964604879872,11.460777666888342
10.0,177816,19473,10.95120799028209,1.750207395037439,8.223412510856425
