regime,bars,corr,case1_loss_rate,hedge_hit_rate_given_case1_loss,both_loss_rate,mean_ret_case1,mean_ret_case2
all_bars,2162313,0.570789252141717,0.3399951810861795,0.09916264948801376,0.28776592472967605,2.4739831839242654e-06,2.282628212576419e-06
case1_new_high,67882,0.1678243750843443,0.0,,0.0,8.761587760896616e-05,6.025948162160566e-05
case1_drawdown_any,2094431,0.5875129377738922,0.35101466699070055,0.09916264948801376,0.2970926232470776,-2.8552623766121313e-07,4.03557112544133e-07
case1_drawdown_5pct,1883381,0.5734306863923259,0.3363137888722462,0.11509187615545771,0.28091819976945714,-1.3553082069298858e-06,-7.056599004533526e-07
case1_drawdown_10pct,1688726,0.5550462688052916,0.3209425330100916,0.134432012753144,0.2625026203185123,-1.8780056262844903e-06,-1.3959092631335046e-06
case1_drawdown_20pct,1342887,0.4555672373869738,0.29416026813871904,0.17523998541860747,0.22739664618095193,-1.8672182996848387e-06,-4.098304173068291e-07
