period_start,period_end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,long_win_rate_pct,short_win_rate_pct,profit_factor,avg_holding_hours,mode,mode_group,entry_scale,entries_scaled_total,scale_1_0_entries,scale_0_5_entries,scale_0_25_entries,avg_entry_scale,avg_entry_drawdown_pct
2022-01-01 03:20:00,2026-02-12,8765.012017335306,776.5012017335306,69.53312399710092,44.91298284728209,1.5481742602920598,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.3201284275843546,69.53119979919678,baseline_es0.3,baseline,0.3,1819,1819,0,0,1.0,8.392391587852064
2022-01-01 03:20:00,2026-02-12,8765.012017335306,776.5012017335306,69.53312399710092,44.91298284728209,1.5481742602920598,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.3201284275843546,69.53119979919678,dd_scaled_es0.3,dd_scaled,0.3,1819,1809,10,0,0.9972512369433755,8.392391587852064
2022-01-01 03:20:00,2026-02-12,16070.592461144619,1507.059246114462,96.46162309810273,57.20943037925468,1.6861140280306255,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.103856480956532,69.53119979919678,baseline_es0.4,baseline,0.4,1819,1819,0,0,1.0,11.042905090925398
2022-01-01 03:20:00,2026-02-12,12244.501536203152,1124.4501536203152,83.89118542204008,42.57260555696213,1.9705438350441977,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.169555601732193,69.53119979919678,dd_scaled_es0.4,dd_scaled,0.4,1819,1558,261,0,0.9282572842221001,11.812108141675989
2022-01-01 03:20:00,2026-02-12,27950.29873271394,2695.029873271394,124.76367963290818,68.13628282936308,1.83109019823344,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.93274167298082,69.53119979919678,baseline_es0.5,baseline,0.5,1819,1819,0,0,1.0,13.66089694425413
2022-01-01 03:20:00,2026-02-12,17790.390405424907,1679.0390405424907,101.37929261344665,51.49498110833981,1.968721813882322,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.9632597513517815,69.53119979919678,dd_scaled_es0.5,dd_scaled,0.5,1819,1379,440,0,0.8790544255085212,15.113947551540049
2022-01-01 03:20:00,2026-02-12,46144.276801480264,4514.427680148026,153.9060976882079,77.68376146578372,1.9811875066837072,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.796646774362269,69.53119979919678,baseline_es0.6,baseline,0.6,1819,1819,0,0,1.0,16.262542273574805
2022-01-01 03:20:00,2026-02-12,19293.757258276462,1829.3757258276462,105.39138194265898,61.57133550360976,1.7116955654872903,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.8525359260431133,69.53119979919678,dd_scaled_es0.6,dd_scaled,0.6,1819,1094,722,3,0.8003023639362287,19.969693092419515
2022-01-01 03:20:00,2026-02-12,72266.63708726614,7126.663708726614,183.17090828926612,85.84874419091565,2.1336469160448,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.688270265159228,69.53119979919678,baseline_es0.7,baseline,0.7,1819,1819,0,0,1.0,18.849612572225023
2022-01-01 03:20:00,2026-02-12,24198.35819286421,2319.8358192864207,117.02171741281258,71.57534097123701,1.634944602776513,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.1786957207451056,69.53119979919678,dd_scaled_es0.7,dd_scaled,0.7,1819,1088,722,9,0.7978284771852666,20.418182582513897
2022-01-01 03:20:00,2026-02-12,107144.65127342864,10614.465127342864,211.63026538403585,92.63490395335383,2.2845629061223183,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,2.602469381238299,69.53119979919678,baseline_es0.8,baseline,0.8,1819,1819,0,0,1.0,21.523979256386834
2022-01-01 03:20:00,2026-02-12,24145.87240809465,2314.587240809465,116.90715661108734,81.50777392937609,1.434306827130179,664,598,66,92.46987951807229,99.83277591973244,25.757575757575758,3.1006545530645777,69.53119979919678,dd_scaled_es0.8,dd_scaled,0.8,1819,948,663,208,0.7319956019791094,23.507546717351175
