date,long_qty_last,hedge_qty_last,net_last,long_qty_max,hedge_qty_max
2024-12-17,9.485961673357778,0.0,9.485961673357778,9.485961673357778,0.0
2024-12-18,9.485961673357778,0.0,9.485961673357778,9.485961673357778,0.0
2024-12-20,9.485961673357778,0.0,9.485961673357778,9.485961673357778,9.485961673357776
2024-12-22,9.485961673357778,9.485961673357776,1.7763568394002505e-15,9.485961673357778,9.485961673357776
2024-12-24,9.485961673357778,0.0,9.485961673357778,9.485961673357778,0.0
2024-12-26,9.485961673357778,9.485961673357776,1.7763568394002505e-15,9.485961673357778,9.485961673357776
2024-12-27,9.485961673357778,9.485961673357776,1.7763568394002505e-15,9.485961673357778,9.485961673357776
2025-01-02,9.485961673357778,0.0,9.485961673357778,9.485961673357778,0.0
2025-01-08,9.485961673357778,9.485961673357776,1.7763568394002505e-15,9.485961673357778,9.485961673357776
2025-01-14,9.485961673357778,0.0,9.485961673357778,9.485961673357778,0.0
2025-01-17,1.9511415020343614,0.0,1.9511415020343614,1.9511415020343614,0.0
2025-01-18,4.877853755085901,0.0,4.877853755085901,4.877853755085901,0.0
2025-01-19,8.881784197001252e-16,0.0,8.881784197001252e-16,5.208066738394844,0.0
2025-01-20,1.9889161067144205,0.0,1.9889161067144205,4.972290266786052,0.0
2025-01-21,1.9079891655371803,0.0,1.9079891655371803,3.7359059218402857,0.0
2025-01-22,4.769972913842951,0.0,4.769972913842951,4.769972913842951,0.0
2025-01-23,0.0,0.0,0.0,3.611313153427947,0.0
2025-01-24,4.9790718731586505,0.0,4.9790718731586505,4.9790718731586505,0.0
2025-01-27,4.9790718731586505,0.0,4.9790718731586505,4.9790718731586505,4.9790718731586505
2025-01-28,4.646757084671586,0.0,4.646757084671586,4.646757084671586,0.0
2025-01-29,0.9728481729094841,0.0,0.9728481729094841,0.9728481729094841,0.0
2025-01-30,1.946674930110995,0.0,1.946674930110995,1.946674930110995,0.0
2025-01-31,1.9466749301109947,0.0,1.9466749301109947,4.866687325277486,0.0
2025-02-01,4.866687325277486,0.0,4.866687325277486,4.866687325277486,0.0
2025-02-02,4.866687325277486,4.866687325277485,8.881784197001252e-16,4.866687325277486,4.866687325277485
2025-02-03,4.866687325277486,0.0,4.866687325277486,4.866687325277486,0.0
2025-02-04,4.866687325277486,4.866687325277485,8.881784197001252e-16,4.866687325277486,4.866687325277485
2025-03-24,4.866687325277486,0.0,4.866687325277486,4.866687325277486,0.0
2025-03-25,4.866687325277486,0.0,4.866687325277486,4.866687325277486,4.866687325277485
2025-03-26,4.866687325277486,4.866687325277485,8.881784197001252e-16,4.866687325277486,4.866687325277485
2025-03-27,4.866687325277486,0.0,4.866687325277486,4.866687325277486,0.0
2025-03-28,4.866687325277486,4.866687325277485,8.881784197001252e-16,4.866687325277486,4.866687325277485
2025-04-02,4.866687325277486,0.0,4.866687325277486,4.866687325277486,0.0
2025-04-03,4.866687325277486,4.866687325277485,8.881784197001252e-16,4.866687325277486,4.866687325277485
2025-04-12,4.866687325277486,0.0,4.866687325277486,4.866687325277486,0.0
2025-04-16,4.866687325277486,0.0,4.866687325277486,4.866687325277486,4.866687325277485
